City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Bundaberg,-24.85,152.35,86.29,54,40,14.97,scattered clouds
243,Labuan,5.2767,115.2417,84.36,80,31,6.35,scattered clouds
244,Fortuna,40.5982,-124.1573,48.97,87,98,4.97,overcast clouds
245,Provideniya,64.3833,-173.3,6.91,66,0,24.61,clear sky
246,Komsomolskiy,40.4272,71.7189,38.12,65,75,4.61,haze
247,Bajil,15.0584,43.2851,74.21,75,3,3.71,clear sky
248,Eureka,40.8021,-124.1637,49.24,81,99,3.96,overcast clouds
249,Huangnihe,43.5583,128.0239,9.52,78,100,0.92,overcast clouds
250,Suamico,44.6319,-88.0393,7.0,60,0,4.0,clear sky
251,Floro,61.5996,5.0328,39.16,52,6,14.97,clear sky
252,Half Moon Bay,37.4636,-122.4286,56.86,82,0,0.0,clear sky
253,Hamilton,39.1834,-84.5333,30.09,62,0,1.99,clear sky
254,Ponta Do Sol,32.6667,-17.1,65.71,50,100,8.12,overcast clouds
255,La Ronge,55.1001,-105.2842,-15.41,93,52,7.61,broken clouds
256,Santa Engracia,41.9406,-1.3245,56.79,78,99,25.19,overcast clouds
257,Trinidad,-14.8333,-64.9,74.79,95,100,3.87,overcast clouds
258,Leningradskiy,69.3833,178.4167,-18.96,93,27,2.21,scattered clouds
259,Bentiu,9.2333,29.8333,78.19,32,93,4.12,overcast clouds
260,Prince Rupert,54.3161,-130.3201,40.87,87,100,16.13,moderate rain
261,Portland,45.5234,-122.6762,46.33,66,20,13.0,few clouds
262,Suixi,33.8907,116.7747,42.35,69,100,1.59,moderate rain
263,Sarangani,5.4033,125.4636,81.21,80,90,13.49,overcast clouds
264,Hami,42.8,93.45,23.58,49,0,5.01,clear sky
265,Petropavlovsk-Kamchatskiy,53.0452,158.6483,34.39,64,75,17.9,snow
266,Coquimbo,-29.9533,-71.3436,64.13,77,0,4.61,clear sky
267,Rognan,67.0953,15.3878,21.34,73,4,7.85,clear sky
268,Teguise,29.0605,-13.564,59.22,39,0,10.36,clear sky
269,Ancud,-41.8697,-73.8203,60.42,95,5,4.47,clear sky
270,Santa Ines,-3.6667,-45.38,73.9,96,100,1.72,overcast clouds
271,Sioux Lookout,50.1001,-91.917,-14.51,89,100,11.14,overcast clouds
272,Nikolayevka,53.1257,47.2041,13.53,86,100,9.82,overcast clouds
273,Nara,34.6851,135.8049,50.92,55,5,4.34,clear sky
274,San Juan,-31.5375,-68.5364,91.58,21,94,8.21,overcast clouds
275,Saint George,37.1041,-113.5841,50.47,40,0,3.0,clear sky
276,Nizwa,22.9333,57.5333,57.92,65,0,1.92,clear sky
277,Ostersund,63.1792,14.6357,3.49,98,78,3.6,broken clouds
